epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,17719,0.56935,0.92775,0.9929,0.81109,0.86201,0.89698,0.82776,0.2485,2.13226,0.49636,0.000363075,0.000363075,0.000363075
70,17981.8,0.53712,0.9294,0.96601,0.8549,0.86147,0.90753,0.8338,0.25009,1.78789,0.49756,0.000352076,0.000352076,0.000352076
71,18245.4,0.57953,0.94379,0.98865,0.86184,0.87068,0.91439,0.84585,0.24384,2.38709,0.49221,0.000341077,0.000341077,0.000341077
72,18511.3,0.54951,0.93947,0.98303,0.86926,0.88258,0.91377,0.84904,0.24184,1.5616,0.48943,0.000330078,0.000330078,0.000330078
73,18773.6,0.55939,0.92249,0.98397,0.87709,0.86761,0.90854,0.84191,0.24125,1.99831,0.4908,0.000319079,0.000319079,0.000319079
74,19036.9,0.57071,0.91979,0.9895,0.88974,0.86286,0.91362,0.84794,0.23457,1.48236,0.48789,0.00030808,0.00030808,0.00030808
75,19299,0.52724,0.88486,0.9725,0.8532,0.87172,0.91853,0.853,0.23116,1.61516,0.48439,0.000297081,0.000297081,0.000297081
76,19561.3,0.53781,0.87705,0.97248,0.81327,0.81876,0.91473,0.84368,0.24115,1.20211,0.48901,0.000286083,0.000286083,0.000286083
77,19824.9,0.5291,0.86462,0.95868,0.85329,0.88305,0.92419,0.86121,0.23438,1.4919,0.48643,0.000275084,0.000275084,0.000275084
78,20088.7,0.54204,0.86155,0.97326,0.90369,0.87361,0.92843,0.86359,0.23114,1.97352,0.48538,0.000264085,0.000264085,0.000264085
79,20354.3,0.52437,0.83569,0.96991,0.90439,0.89264,0.9389,0.87718,0.22308,1.44306,0.48143,0.000253086,0.000253086,0.000253086
80,20618.3,0.55258,0.85605,0.97586,0.91522,0.88472,0.93921,0.87453,0.22719,1.01707,0.48334,0.000242087,0.000242087,0.000242087
81,20881.7,0.5181,0.82024,0.96516,0.90105,0.88871,0.93426,0.87234,0.22237,1.05947,0.4819,0.000231088,0.000231088,0.000231088
